,brand,model,year,km_driven,fuel,seller_type,transmission,owner,torque,seats,consumption,volume,power,selling_price
0,Maruti,Swift,2014,145500,Diesel,Individual,0,0,190.0,5.0,23.4,1248.0,74.0,450000
1,Skoda,Rapid,2014,120000,Diesel,Individual,0,1,250.0,5.0,21.14,1498.0,103.52,370000
2,Hyundai,i20,2010,127000,Diesel,Individual,0,0,220.0,5.0,23.0,1396.0,90.0,225000
3,Maruti,Swift,2007,120000,Petrol,Individual,0,0,113.0,5.0,16.1,1298.0,88.2,130000
4,Hyundai,Xcent,2017,45000,Petrol,Individual,0,0,113.75,5.0,20.14,1197.0,81.86,440000
5,Maruti,Wagon,2007,175000,LPG,Individual,0,0,76.0,5.0,17.3,1061.0,57.5,96000
6,Maruti,800,2001,5000,Petrol,Individual,0,1,59.0,4.0,16.1,796.0,37.0,45000
7,Toyota,Etios,2011,90000,Diesel,Individual,0,0,170.0,5.0,23.59,1364.0,67.1,350000
8,Ford,Figo,2013,169000,Diesel,Individual,0,0,160.0,5.0,20.0,1399.0,68.1,200000
9,Renault,Duster,2014,68000,Diesel,Individual,0,1,248.0,5.0,19.01,1461.0,108.45,500000
10,Maruti,Zen,2005,100000,Petrol,Individual,0,1,78.0,5.0,17.3,993.0,60.0,92000
11,Maruti,Swift,2009,140000,Diesel,Individual,0,1,190.0,5.0,19.3,1248.0,73.9,280000
13,Maruti,Wagon,2009,90000,Petrol,Individual,0,1,84.0,5.0,18.9,1061.0,67.0,180000
14,Mahindra,KUV,2016,40000,Petrol,Individual,0,0,115.0,5.0,18.15,1198.0,82.0,400000
15,Hyundai,i20,2012,53000,Diesel,Individual,0,1,220.0,5.0,23.0,1396.0,90.0,500000
16,Maruti,Alto,2002,80000,Petrol,Individual,0,1,62.0,5.0,19.7,796.0,46.3,150000
17,Hyundai,i20,2016,100000,Diesel,Individual,0,0,219.7,5.0,22.54,1396.0,88.73,680000
18,Mahindra,Verito,2011,100000,Diesel,Individual,0,1,160.0,5.0,21.0,1461.0,64.1,174000
19,Honda,WR-V,2017,50000,Diesel,Individual,0,0,200.0,5.0,25.5,1498.0,98.6,950000
20,Maruti,Swift,2015,40000,Diesel,Individual,0,0,190.0,5.0,26.59,1248.0,74.0,525000
21,Maruti,SX4,2012,72000,Diesel,Individual,0,0,200.0,5.0,21.5,1248.0,88.8,600000
22,Maruti,Baleno,2016,45000,Petrol,Individual,0,0,115.0,5.0,21.4,1197.0,83.1,575000
23,Maruti,Alto,2017,28000,Petrol,Individual,0,0,69.0,5.0,24.7,796.0,47.3,275000
24,Chevrolet,Enjoy,2013,70000,Diesel,Individual,0,0,172.5,7.0,18.2,1248.0,73.8,300000
25,Maruti,Wagon,2009,120000,Petrol,Individual,0,0,84.0,5.0,18.9,1061.0,67.0,220000
26,Maruti,Omni,2018,25000,Petrol,Individual,0,0,59.0,8.0,16.8,796.0,34.2,254999
27,Maruti,Vitara,2017,70000,Diesel,Individual,0,0,200.0,5.0,24.3,1248.0,88.5,670000
29,Maruti,Omni,2012,35000,Petrol,Individual,0,1,60.0,5.0,14.0,796.0,35.0,150000
30,Maruti,Vitara,2017,16200,Diesel,Individual,0,0,200.0,5.0,24.3,1248.0,88.5,650000
31,Maruti,Alto,2019,10000,CNG,Individual,0,1,60.0,4.0,33.44,796.0,40.3,330000
32,Maruti,Alto,2019,15000,Petrol,Individual,0,0,90.0,5.0,23.95,998.0,67.1,366000
33,Hyundai,Verna,2019,5000,Petrol,Individual,0,0,151.0,5.0,17.0,1591.0,121.3,1149000
34,Datsun,GO,2016,42000,Petrol,Individual,0,0,104.0,5.0,20.63,1198.0,67.0,150000
35,Tata,Safari,2011,60000,Diesel,Individual,0,1,320.0,7.0,13.93,2179.0,138.03,425000
36,Maruti,800,2012,76000,Petrol,Individual,0,0,59.0,4.0,16.1,796.0,37.0,150000
